,XYZ,GRF1,GRF0,LHipMoment,RHipMoment,LKneeMoment,RKneeMoment,RAnkleMoment,LAnkleMoment,RGroundReactionMoment,LGroundReactionMoment,LHipForce,RHipForce,LKneeForce,RKneeForce,RAnkleForce,LAnkleForce,RNormalisedGRF,RGroundReactionForce,LNormalisedGRF,LGroundReactionForce,RAnklePower,RKneePower,RHipPower,LAnklePower,LKneePower,LHipPower,RFootProgressAngles,LFootProgressAngles,RPelvisAngles,LPelvisAngles,RAbsAnkleAngle,RAnkleAngles,RKneeAngles,RHipAngles,LAnkleAngles,LAbsAnkleAngle,LKneeAngles,LHipAngles,RTOP,RTOL,RTOA,RTOO,RFOP,RFOL,RFOA,RFOO,RTIP,RTIL,RTIA,RTIO,RFEP,RFEL,RFEA,RFEO,LTOP,LTOL,LTOA,LTOO,LFOP,LFOL,LFOA,LFOO,LTIP,LTIL,LTIA,LTIO,LFEP,LFEL,LFEA,LFEO,PELP,PELL,PELA,PELO,RTOE,RHEE,RANK,RTIB,RKNE,RTHI,LTOE,LHEE,LANK,LTIB,LKNE,LTHI,RPSI,LPSI,RASI,LASI
0,x,1.2654024362564087,1.0914039611816406,0.0,0.0,0.0,0.0,0.0,0.0,-8.45416259765625,-3.7360360622406006,0.0,0.0,0.0,0.0,0.0,0.0,-1.7452940940856934,0.025085704401135445,1.709738850593567,-0.02071452885866165,0.0,0.0,0.0,0.0,0.0,0.0,-86.7071304321289,-39.4329719543457,17.04224967956543,17.04224967956543,9.824603080749512,10.208161354064941,23.876049041748047,28.12215805053711,0.9801725149154663,0.9552761316299438,53.58872604370117,21.726682662963867,106.18373107910156,158.60150146484375,95.25606536865234,93.52444458007812,144.16140747070312,301.4149169921875,111.3787612915039,106.1836929321289,138.47496032714844,547.911376953125,180.8955078125,146.1956329345703,83.96455383300781,535.2698974609375,260.651123046875,138.0576171875,327.4709777832031,404.5419921875,330.0377197265625,338.6940612792969,293.80169677734375,525.0147705078125,301.5019836425781,327.4709777832031,264.4652099609375,655.0175170898438,268.16229248046875,289.015625,245.65768432617188,635.0838623046875,60.91386413574219,263.0753173828125,172.4691162109375,326.3498840332031,183.51979064941406,164.81112670898438,113.14093780517578,158.3999481201172,105.85328674316406,51.785926818847656,79.7840805053711,-7.223458290100098,323.8395080566406,285.244140625,330.8539123535156,349.5450439453125,314.8713684082031,361.4262390136719,114.54874420166016,197.5639190673828,53.175289154052734,297.1382141113281
1,y,-10.106486320495605,-10.393884658813477,0.0,0.0,0.0,0.0,0.0,0.0,-10.436355590820312,1.6622686386108398,0.0,0.0,0.0,0.0,0.0,0.0,0.25571563839912415,0.17121334373950958,0.21115727722644806,-0.1677253693342209,0.0,0.0,0.0,0.0,0.0,0.0,-1.5242505073547363,-7.489105224609375,2.6961870193481445,-2.6961870193481445,0.0,3.514472484588623,1.1803418397903442,6.739321708679199,3.6605093479156494,0.0,20.987436294555664,-2.4409518241882324,1501.7041015625,1424.1788330078125,1432.5672607421875,1436.71142578125,1696.681884765625,1464.1065673828125,1489.2713623046875,1501.7041015625,1545.58251953125,1668.9560546875,1245.391845703125,1636.8934326171875,1613.1292724609375,1671.3922119140625,1149.0030517578125,1540.6466064453125,1827.218505859375,1785.32080078125,1732.524658203125,1785.03369140625,1953.77294921875,1828.0799560546875,1669.69140625,1827.218505859375,1617.1556396484375,1874.5928955078125,1682.9781494140625,1906.770263671875,1631.987060546875,1400.1072998046875,1228.837646484375,1600.760009765625,1574.8984375,1642.6947021484375,1468.1998291015625,1622.5582275390625,1479.0224609375,1683.21240234375,1633.673583984375,1579.2984619140625,1521.4654541015625,1535.5137939453125,1837.581298828125,1969.58935546875,1903.092041015625,1725.466064453125,1572.822509765625,1556.65869140625,1701.2410888671875,1717.61572265625,1531.528564453125,1561.9395751953125
2,z,0.747485876083374,1.49980628490448,0.0,0.0,0.0,0.0,0.0,0.0,0.45250463485717773,5.209927558898926,0.0,0.0,0.0,0.0,0.0,0.0,-0.24658004939556122,-0.024189503863453865,-0.3337704837322235,-0.03274288401007652,0.0,0.0,0.0,0.0,0.0,0.0,-11.00429916381836,-9.591547966003418,6.606307029724121,-6.606307029724121,0.0,-15.67611026763916,-13.708123207092285,9.996342658996582,-12.93862247467041,0.0,-11.255834579467773,35.65988540649414,68.83780670166016,62.61042404174805,131.26571655273438,65.09846496582031,80.05589294433594,61.3735466003418,267.3396301269531,68.83780670166016,481.9741516113281,104.58940124511719,-1.10400390625,89.23766326904297,912.536376953125,532.54345703125,588.7548828125,503.203857421875,136.4857635498047,99.3599853515625,126.47747802734375,85.18933868408203,290.3750915527344,178.9977264404297,260.35015869140625,136.4857635498047,475.8080749511719,249.56739807128906,-39.598236083984375,251.0513916015625,910.769287109375,518.717041015625,507.6985168457031,488.5318908691406,1067.130615234375,909.8689575195312,863.414794921875,911.6528930664062,45.13889694213867,54.686431884765625,87.69596099853516,302.56707763671875,498.89959716796875,687.8922119140625,98.60783386230469,254.1748046875,250.8817596435547,386.3077697753906,492.73468017578125,670.1214599609375,1045.3743896484375,1041.4266357421875,993.9349975585938,991.24072265625
3,x,1.4590222835540771,1.3887604475021362,0.0,0.0,0.0,0.0,0.0,0.0,-8.550775527954102,-2.8763082027435303,0.0,0.0,0.0,0.0,0.0,0.0,-1.757961630821228,0.02352943830192089,1.703903317451477,-0.02073610946536064,0.0,0.0,0.0,0.0,0.0,0.0,-86.6131591796875,-40.52169418334961,17.050941467285156,17.050941467285156,10.328027725219727,10.727968215942383,23.51775550842285,27.238357543945312,1.340174913406372,1.313856840133667,55.00844955444336,23.623104095458984,105.8895263671875,158.19656372070312,94.62277221679688,93.13256072998047,144.16036987304688,301.0814208984375,110.36028289794922,105.8895263671875,137.11228942871094,548.2855224609375,180.03341674804688,146.05992126464844,81.1846923828125,534.1182861328125,255.54953002929688,136.6291961669922,328.65240478515625,406.7384338378906,333.1789245605469,340.9817199707031,291.6643981933594,525.9225463867188,305.2440490722656,328.65240478515625,265.5436706542969,655.458251953125,283.3703918457031,288.0250549316406,242.85508728027344,643.2428588867188,76.64505004882812,264.2735290527344,170.3138427734375,323.5347595214844,180.66342163085938,162.01988220214844,112.97228240966797,158.3165740966797,105.7135238647461,50.904388427734375,78.22872924804688,-9.423845291137695,324.5963134765625,283.61846923828125,329.94329833984375,350.1795959472656,317.0802307128906,362.9241943359375,111.92608642578125,194.9593048095703,50.823028564453125,294.64971923828125
4,y,-10.516830444335938,-10.552411079406738,0.0,0.0,0.0,0.0,0.0,0.0,-9.944535255432129,1.6822589635849,0.0,0.0,0.0,0.0,0.0,0.0,0.23985154926776886,0.1724560409784317,0.21137726306915283,-0.16715291142463684,0.0,0.0,0.0,0.0,0.0,0.0,-1.312059760093689,-6.76715612411499,2.9202566146850586,-2.9202566146850586,0.0,3.498366594314575,0.8491349220275879,7.261197090148926,3.2241640090942383,0.0,20.07111167907715,-2.9680559635162354,1501.4788818359375,1423.8699951171875,1432.302978515625,1436.5115966796875,1696.3809814453125,1463.5540771484375,1488.853271484375,1501.4788818359375,1541.2314453125,1667.494873046875,1245.463623046875,1636.5806884765625,1601.5555419921875,1662.939697265625,1142.5931396484375,1536.083251953125,1798.6234130859375,1757.5208740234375,1703.810546875,1755.5992431640625,1927.6961669921875,1804.3885498046875,1643.257568359375,1798.6234130859375,1592.3245849609375,1859.2945556640625,1650.697509765625,1879.784912109375,1620.5401611328125,1391.2735595703125,1197.73193359375,1576.08349609375,1563.373779296875,1631.31103515625,1456.7105712890625,1611.0478515625,1479.1898193359375,1683.239013671875,1633.479736328125,1577.062255859375,1517.445068359375,1528.8712158203125,1808.8953857421875,1943.8743896484375,1877.447265625,1702.54638671875,1550.33154296875,1541.8857421875,1689.84326171875,1706.44091796875,1519.9263916015625,1550.51611328125
5,z,2.1769866943359375,1.1486250162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.460614413022995,5.89076042175293,0.0,0.0,0.0,0.0,0.0,0.0,-0.27594828605651855,-0.027070526033639908,-0.33055296540260315,-0.03242724761366844,0.0,0.0,0.0,0.0,0.0,0.0,-11.090314865112305,-10.547294616699219,6.584464073181152,-6.584464073181152,0.0,-15.606452941894531,-13.43832015991211,9.403120040893555,-11.374605178833008,0.0,-11.576659202575684,33.54960250854492,68.6122055053711,62.49797821044922,130.93643188476562,64.767333984375,80.14653778076172,61.80397415161133,267.1194152832031,68.61213684082031,481.5145263671875,105.9702377319336,-5.022819519042969,89.27970886230469,912.39111328125,536.212158203125,581.66796875,502.6924133300781,134.96917724609375,99.09674835205078,126.98727416992188,84.63288879394531,285.97808837890625,178.36074829101562,262.0323791503906,134.9691925048828,476.54107666015625,257.9954833984375,-40.51155090332031,247.64051818847656,910.00390625,528.3126220703125,519.9151000976562,489.4736633300781,1066.63818359375,908.794189453125,862.8670043945312,911.197509765625,45.02436447143555,54.84378433227539,87.60551452636719,301.8498229980469,497.767578125,686.6835327148438,98.52172088623047,251.0595703125,248.8218536376953,387.54510498046875,494.8855895996094,672.4771118164062,1045.2374267578125,1040.921875,993.8958740234375,990.267822265625
6,x,1.2690516710281372,1.502155065536499,0.0,0.0,0.0,0.0,0.0,0.0,-8.157144546508789,-3.668462038040161,0.0,0.0,0.0,0.0,0.0,0.0,-1.7569091320037842,0.02441578172147274,1.7029742002487183,-0.02270437963306904,0.0,0.0,0.0,0.0,0.0,0.0,-86.5188217163086,-41.751564025878906,16.996212005615234,16.996212005615234,10.855278968811035,11.274456024169922,23.216167449951172,26.314212799072266,1.7378041744232178,1.7097076177597046,56.26279830932617,25.451679229736328,105.63580322265625,157.86764526367188,94.08474731445312,92.81214904785156,144.10694885253906,300.8022766113281,109.45360565185547,105.63585662841797,135.90005493164062,548.513916015625,179.6146240234375,145.9042510986328,78.60198974609375,532.9225463867188,251.72314453125,135.3604278564453,329.2379455566406,408.0475769042969,335.22509765625,342.37225341796875,289.8350830078125,526.263916015625,307.7964172363281,329.2379455566406,266.54302978515625,655.2021484375,293.7495422363281,287.0397644042969,240.2545623779297,650.170654296875,91.0859375,265.3869934082031,168.2744140625,320.92462158203125,177.97796630859375,159.42823791503906,112.84082794189453,158.19212341308594,105.55784606933594,50.1131477355957,76.8830795288086,-11.375219345092773,324.83758544921875,282.0059509277344,328.9678955078125,350.7351379394531,319.0353088378906,364.2350158691406,109.50523376464844,192.54556274414062,48.59782028198242,292.31329345703125
7,y,-9.758989334106445,-10.45804500579834,0.0,0.0,0.0,0.0,0.0,0.0,-10.323808670043945,1.552976131439209,0.0,0.0,0.0,0.0,0.0,0.0,0.24888665974140167,0.17235277593135834,0.2314411848783493,-0.16706177592277527,0.0,0.0,0.0,0.0,0.0,0.0,-1.1206293106079102,-6.210810661315918,3.1148641109466553,-3.1148641109466553,0.0,3.4913394451141357,0.5848780274391174,7.761133670806885,2.9315807819366455,0.0,19.200780868530273,-3.4379947185516357,1501.2408447265625,1423.5743408203125,1432.0164794921875,1436.2930908203125,1696.08447265625,1463.0843505859375,1488.4112548828125,1501.2408447265625,1536.709228515625,1666.4967041015625,1245.7542724609375,1636.272705078125,1590.0443115234375,1655.322998046875,1136.37158203125,1531.338623046875,1769.0343017578125,1728.3011474609375,1674.1412353515625,1725.042724609375,1901.0089111328125,1778.8094482421875,1616.32958984375,1769.0343017578125,1567.5123291015625,1840.5888671875,1617.9774169921875,1852.16845703125,1609.1005859375,1381.605712890625,1168.1842041015625,1551.4576416015625,1552.0552978515625,1619.9071044921875,1445.196044921875,1599.5723876953125,1479.31640625,1683.2593994140625,1633.243896484375,1574.626953125,1513.101806640625,1521.8380126953125,1778.97509765625,1917.147705078125,1850.8497314453125,1678.7506103515625,1527.776123046875,1526.837646484375,1678.6134033203125,1695.3748779296875,1508.48681640625,1539.174072265625
8,z,2.7946970462799072,0.6123497486114502,0.0,0.0,0.0,0.0,0.0,0.0,0.4599097967147827,5.515295028686523,0.0,0.0,0.0,0.0,0.0,0.0,-0.26796755194664,-0.026287617161870003,-0.397471159696579,-0.03899192065000534,0.0,0.0,0.0,0.0,0.0,0.0,-11.149075508117676,-11.244609832763672,6.552364826202393,-6.552364826202393,0.0,-15.57604694366455,-13.235481262207031,8.994750022888184,-10.315661430358887,0.0,-11.39340877532959,31.634822845458984,68.41476440429688,62.39054489135742,130.63302612304688,64.46375274658203,80.26761627197266,62.195186614990234,266.92254638671875,68.41471862792969,480.9052734375,107.31853485107422,-9.0909423828125,89.34678649902344,912.0869140625,539.3048706054688,574.6776123046875,502.02642822265625,133.2694091796875,98.5774154663086,127.512939453125,83.98375701904297,281.1263427734375,177.05035400390625,263.8570251464844,133.2694091796875,477.48626708984375,262.1015319824219,-40.90583801269531,243.90672302246094,909.129638671875,537.1661987304688,532.9868774414062,490.6602478027344,1066.066650390625,907.6339721679688,862.3663330078125,910.6082763671875,44.92639923095703,55.05961227416992,87.5457992553711,301.1014709472656,496.5431823730469,685.397705078125,97.74541473388672,246.96218872070312,245.9788360595703,388.0025329589844,497.1443176269531,674.7789306640625,1044.8477783203125,1040.16845703125,993.7743530273438,989.285888671875
9,x,1.3172763586044312,1.5056179761886597,0.0,0.0,0.0,0.0,0.0,0.0,-8.891180992126465,-3.4567477703094482,0.0,0.0,0.0,0.0,0.0,0.0,-1.7672982215881348,0.02492249384522438,1.7171298265457153,-0.023295411840081215,0.0,0.0,0.0,0.0,0.0,0.0,-86.42395782470703,-43.121456146240234,16.879268646240234,16.879268646240234,11.40585708618164,11.847498893737793,22.974082946777344,25.351186752319336,2.1657817363739014,2.134352922439575,57.338497161865234,27.206544876098633,105.42322540283203,157.61656188964844,93.64144134521484,92.56449127197266,143.99952697753906,300.5794677734375,108.65402221679688,105.42326354980469,134.84051513671875,548.60693359375,179.6515350341797,145.72747802734375,76.21511840820312,531.6893310546875,249.16363525390625,134.253662109375,329.2367248535156,408.5214538574219,336.238037109375,342.9044189453125,288.23370361328125,526.087890625,309.237548828125,329.2367248535156,267.4447021484375,654.64990234375,299.29541015625,286.00762939453125,237.85537719726562,655.9205932617188,103.96055603027344,266.3993225097656,166.35092163085938,318.5191650390625,175.4634246826172,157.0352783203125,112.74706268310547,158.02528381347656,105.38492584228516,49.411346435546875,75.74642944335938,-13.075909614562988,324.5970764160156,280.4035949707031,327.9273376464844,351.1980285644531,320.7298889160156,365.3460693359375,107.28659057617188,190.32322692871094,46.49912643432617,290.1294860839844
